,site,th,species,FN,FP,below_th,total
499,Comthurey_r500,38,Mdas,0,0,0,0
500,Comthurey_r500,38,Mdau,12,14,0,1085
501,Comthurey_r500,38,Mema,0,0,0,0
502,Comthurey_r500,38,Mmyo,8,9,0,2269
503,Comthurey_r500,38,Mbra,0,0,0,0
504,Comthurey_r500,38,Mnat,23,9,3,3033
505,Comthurey_r500,38,Nnoc,0,0,0,0
506,Comthurey_r500,38,Ppip,0,0,0,0
507,Comthurey_r500,38,Paur,1,0,0,37
508,Comthurey_r500,38,Rhin,0,0,0,0
509,Comthurey_r500,39,Bbar,1,9,0,90
510,Comthurey_r500,39,Eser,0,0,0,0
511,Comthurey_r500,39,Mbec,0,0,0,0
512,Comthurey_r500,39,Mdas,0,0,0,0
513,Comthurey_r500,39,Mdau,10,14,0,1085
514,Comthurey_r500,39,Mema,0,0,0,0
515,Comthurey_r500,39,Mmyo,8,9,0,2269
516,Comthurey_r500,39,Mbra,0,0,0,0
517,Comthurey_r500,39,Mnat,23,8,3,3033
518,Comthurey_r500,39,Nnoc,0,0,0,0
519,Comthurey_r500,39,Ppip,0,0,0,0
520,Comthurey_r500,39,Paur,1,0,0,37
521,Comthurey_r500,39,Rhin,0,0,0,0
522,Comthurey_r500,40,Bbar,1,9,0,90
523,Comthurey_r500,40,Eser,0,0,0,0
524,Comthurey_r500,40,Mbec,0,0,0,0
525,Comthurey_r500,40,Mdas,0,0,0,0
526,Comthurey_r500,40,Mdau,10,14,0,1085
527,Comthurey_r500,40,Mema,0,0,0,0
528,Comthurey_r500,40,Mmyo,8,9,0,2269
529,Comthurey_r500,40,Mbra,0,0,0,0
530,Comthurey_r500,40,Mnat,23,8,3,3033
